Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.928,0.023,0.594,0.696,0.973,0.977,0.748,0.817,0.874
0.025,0.096,0.252,0.397,0.017,0.007,0.457,0.431,0.015
0.304,0.021,0.589,0.468,0.326,0.243,0.888,0.868,0.162
0.388,0.062,0.701,0.783,0.412,0.461,0.731,0.730,0.227
0.400,0.072,0.165,0.532,0.466,0.700,0.665,0.610,0.247
0.245,0.310,0.255,0.077,0.229,0.104,0.664,0.721,0.084
0.375,0.224,0.270,0.027,0.312,0.187,0.839,0.883,0.119
0.569,0.167,0.453,0.750,0.596,0.708,0.627,0.643,0.353
0.929,0.011,0.159,0.225,0.970,0.988,0.887,0.909,0.781
0.217,0.815,0.064,0.040,0.258,0.345,0.758,0.964,0.145
0.950,0.020,0.071,0.029,0.980,0.984,0.889,0.917,0.819
0.868,0.012,0.009,0.004,0.944,0.939,0.825,0.723,0.584
0.012,0.202,0.389,0.303,0.006,0.002,0.547,0.600,0.008
0.934,0.005,0.014,0.851,0.991,0.996,0.879,0.891,0.743
0.290,0.305,0.011,0.004,0.258,0.235,0.377,0.282,0.103
0.484,0.318,0.020,0.005,0.462,0.396,0.464,0.272,0.173
0.788,0.062,0.092,0.093,0.859,0.906,0.702,0.677,0.466
0.577,0.883,0.053,0.309,0.680,0.759,0.478,0.921,0.319
0.934,0.015,0.048,0.915,0.987,0.995,0.830,0.817,0.773
0.110,0.091,0.002,0.001,0.086,0.139,0.582,0.551,0.035
0.950,0.003,0.094,0.983,0.993,0.995,0.834,0.884,0.791
0.968,0.006,0.007,0.020,0.993,0.995,0.813,0.685,0.822
0.350,0.166,0.022,0.026,0.331,0.441,0.449,0.451,0.171
0.157,0.027,0.927,0.829,0.159,0.080,0.905,0.952,0.089
0.140,0.011,0.392,0.209,0.132,0.048,0.901,0.939,0.050
0.796,0.030,0.291,0.797,0.911,0.953,0.719,0.725,0.543
0.296,0.022,0.919,0.909,0.369,0.270,0.850,0.847,0.273
0.098,0.577,0.003,0.000,0.069,0.112,0.480,0.494,0.040
0.031,0.843,0.066,0.037,0.020,0.013,0.250,0.381,0.026
0.398,0.598,0.014,0.009,0.370,0.333,0.207,0.204,0.191
0.208,0.869,0.034,0.009,0.149,0.180,0.376,0.602,0.092
0.019,0.031,0.038,0.024,0.014,0.009,0.811,0.849,0.009
0.957,0.012,0.127,0.494,0.990,0.994,0.839,0.830,0.823
0.957,0.012,0.127,0.494,0.990,0.994,0.839,0.830,0.823
0.009,0.503,0.009,0.000,0.004,0.005,0.664,0.763,0.004
0.981,0.004,0.029,0.622,0.997,0.999,0.868,0.892,0.893
0.898,0.005,0.369,0.840,0.968,0.978,0.797,0.827,0.758
0.857,0.008,0.502,0.591,0.935,0.958,0.890,0.902,0.686
0.961,0.025,0.428,0.819,0.987,0.988,0.681,0.759,0.849
0.205,0.304,0.136,0.202,0.170,0.167,0.380,0.546,0.099
0.158,0.025,0.757,0.537,0.177,0.220,0.931,0.885,0.102
0.961,0.029,0.089,0.021,0.984,0.986,0.923,0.973,0.851
0.564,0.049,0.009,0.004,0.593,0.394,0.668,0.547,0.178
0.787,0.101,0.532,0.457,0.839,0.813,0.715,0.805,0.621
0.050,0.036,0.808,0.901,0.046,0.076,0.822,0.865,0.036
0.308,0.042,0.814,0.558,0.308,0.186,0.838,0.874,0.185
0.919,0.008,0.054,0.924,0.985,0.993,0.826,0.772,0.697
0.023,0.057,0.032,0.001,0.014,0.007,0.930,0.881,0.006
0.029,0.922,0.053,0.007,0.017,0.018,0.258,0.709,0.035
0.403,0.045,0.782,0.367,0.421,0.333,0.893,0.766,0.340
0.403,0.045,0.782,0.367,0.421,0.333,0.893,0.766,0.340
0.015,0.054,0.243,0.067,0.009,0.003,0.859,0.952,0.007
0.976,0.032,0.284,0.912,0.993,0.995,0.578,0.694,0.862
0.150,0.017,0.925,0.775,0.138,0.154,0.939,0.929,0.093
0.045,0.019,0.575,0.019,0.027,0.039,0.977,0.943,0.019
0.323,0.173,0.729,0.806,0.270,0.405,0.623,0.557,0.279
0.979,0.236,0.075,0.017,0.986,0.985,0.566,0.819,0.904
0.672,0.005,0.240,0.208,0.818,0.776,0.930,0.927,0.297
0.399,0.098,0.884,0.659,0.380,0.360,0.774,0.811,0.387
0.909,0.008,0.083,0.039,0.960,0.956,0.917,0.909,0.710
0.816,0.003,0.017,0.982,0.972,0.995,0.910,0.843,0.583
0.889,0.016,0.432,0.426,0.951,0.932,0.875,0.915,0.756
0.955,0.010,0.129,0.953,0.992,0.996,0.686,0.597,0.835
0.014,0.907,0.009,0.000,0.006,0.006,0.590,0.742,0.007
0.152,0.100,0.639,0.483,0.112,0.099,0.558,0.631,0.092
0.585,0.070,0.813,0.502,0.621,0.564,0.843,0.893,0.403
0.222,0.077,0.014,0.002,0.186,0.118,0.747,0.521,0.046
0.472,0.647,0.009,0.002,0.466,0.346,0.256,0.238,0.241
0.472,0.647,0.009,0.002,0.466,0.346,0.256,0.238,0.241
0.429,0.052,0.881,0.816,0.445,0.509,0.852,0.887,0.353
0.429,0.052,0.881,0.816,0.445,0.509,0.852,0.887,0.353
0.075,0.009,0.430,0.630,0.063,0.020,0.716,0.724,0.032
0.256,0.049,0.893,0.502,0.232,0.140,0.927,0.900,0.183
0.973,0.002,0.083,0.516,0.995,0.997,0.916,0.930,0.811
0.853,0.183,0.022,0.009,0.874,0.825,0.521,0.414,0.474
0.853,0.183,0.022,0.009,0.874,0.825,0.521,0.414,0.474
0.018,0.023,0.099,0.106,0.011,0.017,0.709,0.588,0.010
0.898,0.012,0.509,0.814,0.965,0.981,0.859,0.856,0.801
0.732,0.034,0.440,0.956,0.862,0.932,0.710,0.686,0.607
0.127,0.021,0.669,0.547,0.102,0.053,0.760,0.788,0.072
0.591,0.011,0.581,0.734,0.687,0.649,0.840,0.879,0.314
0.008,0.922,0.016,0.000,0.003,0.004,0.551,0.805,0.004
0.471,0.020,0.087,0.068,0.537,0.396,0.769,0.580,0.175
0.275,0.006,0.090,0.398,0.319,0.351,0.571,0.479,0.131
0.778,0.019,0.073,0.101,0.885,0.865,0.838,0.708,0.543
0.827,0.004,0.036,0.008,0.891,0.949,0.915,0.803,0.615
0.505,0.123,0.620,0.191,0.446,0.305,0.830,0.813,0.330
0.119,0.092,0.007,0.004,0.100,0.163,0.675,0.732,0.047
0.176,0.048,0.551,0.637,0.123,0.134,0.667,0.619,0.077
0.696,0.068,0.006,0.001,0.748,0.709,0.705,0.373,0.222
0.606,0.062,0.756,0.316,0.574,0.704,0.877,0.924,0.476
0.773,0.034,0.014,0.048,0.863,0.917,0.634,0.571,0.417
0.965,0.002,0.198,0.663,0.994,0.995,0.916,0.945,0.867
0.109,0.011,0.625,0.258,0.104,0.073,0.933,0.900,0.057
0.368,0.009,0.720,0.887,0.387,0.365,0.790,0.853,0.211
0.215,0.049,0.934,0.615,0.195,0.116,0.944,0.929,0.161
0.336,0.050,0.548,0.946,0.374,0.575,0.685,0.658,0.228
0.477,0.128,0.323,0.040,0.428,0.477,0.877,0.914,0.254
0.460,0.623,0.005,0.001,0.414,0.471,0.363,0.223,0.203
0.463,0.045,0.787,0.687,0.453,0.386,0.788,0.747,0.328
0.601,0.013,0.112,0.055,0.737,0.688,0.891,0.891,0.299
0.094,0.056,0.027,0.038,0.085,0.075,0.602,0.538,0.049
0.060,0.105,0.822,0.775,0.048,0.016,0.773,0.849,0.046
0.161,0.232,0.038,0.023,0.125,0.205,0.451,0.472,0.087
0.161,0.232,0.038,0.023,0.125,0.205,0.451,0.472,0.087
0.161,0.232,0.038,0.023,0.125,0.205,0.451,0.472,0.087
0.837,0.070,0.701,0.729,0.896,0.919,0.750,0.860,0.702
0.837,0.070,0.701,0.729,0.896,0.919,0.750,0.860,0.702
0.837,0.070,0.701,0.729,0.896,0.919,0.750,0.860,0.702
0.294,0.039,0.022,0.003,0.332,0.275,0.916,0.753,0.092
0.842,0.018,0.663,0.963,0.926,0.936,0.804,0.856,0.632
0.195,0.066,0.775,0.799,0.141,0.169,0.688,0.677,0.149
0.213,0.327,0.134,0.043,0.215,0.308,0.824,0.911,0.143
0.033,0.096,0.873,0.894,0.016,0.010,0.724,0.875,0.016
0.137,0.073,0.812,0.689,0.093,0.081,0.783,0.793,0.098
0.030,0.029,0.429,0.166,0.021,0.007,0.893,0.943,0.011
0.164,0.241,0.013,0.008,0.140,0.185,0.429,0.434,0.062
0.159,0.251,0.012,0.007,0.133,0.172,0.422,0.427,0.059
0.750,0.103,0.404,0.344,0.805,0.805,0.765,0.812,0.559
0.140,0.016,0.336,0.497,0.111,0.200,0.731,0.637,0.084
0.045,0.177,0.301,0.835,0.027,0.064,0.506,0.387,0.039
0.027,0.231,0.184,0.297,0.019,0.023,0.634,0.836,0.022
0.508,0.042,0.029,0.040,0.528,0.269,0.706,0.797,0.198
0.183,0.028,0.930,0.921,0.213,0.144,0.854,0.889,0.153
0.166,0.049,0.846,0.683,0.113,0.080,0.730,0.803,0.089
0.970,0.003,0.006,0.258,0.996,0.998,0.893,0.831,0.842
0.970,0.002,0.072,0.249,0.995,0.996,0.922,0.926,0.932
0.014,0.492,0.003,0.000,0.006,0.008,0.731,0.785,0.004
0.006,0.933,0.015,0.000,0.002,0.003,0.395,0.810,0.004
0.443,0.095,0.027,0.014,0.438,0.213,0.615,0.619,0.190
0.640,0.128,0.539,0.741,0.671,0.783,0.678,0.686,0.395
0.010,0.047,0.294,0.242,0.005,0.001,0.633,0.751,0.005
0.287,0.109,0.057,0.041,0.235,0.214,0.671,0.504,0.086
0.342,0.108,0.017,0.007,0.279,0.206,0.638,0.532,0.096
0.466,0.017,0.825,0.804,0.607,0.569,0.877,0.859,0.340
0.973,0.011,0.123,0.987,0.996,0.998,0.704,0.731,0.862
0.311,0.085,0.715,0.488,0.277,0.192,0.825,0.861,0.171
0.462,0.532,0.530,0.360,0.452,0.482,0.699,0.836,0.381
0.790,0.059,0.214,0.159,0.848,0.890,0.741,0.730,0.587
0.733,0.015,0.157,0.331,0.848,0.898,0.853,0.908,0.433
0.660,0.436,0.044,0.012,0.693,0.535,0.512,0.460,0.346
0.524,0.027,0.816,0.683,0.503,0.528,0.823,0.714,0.434
0.956,0.038,0.314,0.692,0.985,0.990,0.700,0.756,0.869
0.132,0.005,0.130,0.441,0.150,0.165,0.625,0.548,0.075
0.228,0.093,0.698,0.412,0.202,0.064,0.756,0.800,0.123
0.010,0.054,0.065,0.073,0.006,0.003,0.599,0.800,0.006
0.106,0.999,0.255,0.142,0.027,0.118,0.052,0.464,0.176
0.494,0.011,0.344,0.078,0.496,0.524,0.962,0.931,0.255
0.019,0.038,0.547,0.151,0.014,0.004,0.932,0.976,0.007
0.721,0.067,0.162,0.514,0.821,0.862,0.679,0.682,0.435
0.572,0.021,0.409,0.821,0.694,0.769,0.703,0.702,0.405
0.015,0.058,0.008,0.005,0.010,0.015,0.731,0.786,0.007
0.015,0.057,0.008,0.006,0.010,0.016,0.731,0.785,0.007
0.943,0.015,0.228,0.376,0.983,0.990,0.877,0.895,0.854
0.943,0.015,0.228,0.376,0.983,0.990,0.877,0.895,0.854
0.098,0.016,0.117,0.045,0.076,0.087,0.798,0.680,0.032
0.381,0.017,0.062,0.007,0.362,0.288,0.890,0.804,0.098
0.753,0.002,0.018,0.584,0.958,0.983,0.961,0.895,0.494
0.359,0.016,0.041,0.070,0.445,0.371,0.864,0.860,0.113
0.281,0.019,0.566,0.744,0.238,0.359,0.693,0.640,0.146
0.063,0.034,0.884,0.647,0.054,0.015,0.916,0.972,0.028
0.668,0.138,0.557,0.411,0.683,0.597,0.661,0.753,0.482
0.409,0.008,0.877,0.990,0.470,0.555,0.826,0.836,0.244
0.975,0.002,0.038,0.508,0.997,0.998,0.936,0.928,0.823
0.019,0.270,0.017,0.005,0.012,0.018,0.862,0.842,0.012
0.086,0.337,0.030,0.027,0.066,0.092,0.384,0.547,0.045
0.973,0.017,0.431,0.569,0.992,0.992,0.738,0.827,0.915
0.848,0.012,0.570,0.523,0.920,0.917,0.836,0.749,0.736
0.081,0.135,0.016,0.001,0.058,0.043,0.805,0.576,0.023
0.458,0.058,0.767,0.784,0.543,0.374,0.679,0.636,0.392
0.269,0.019,0.710,0.822,0.307,0.215,0.672,0.764,0.162
0.057,0.689,0.327,0.051,0.036,0.030,0.713,0.786,0.041
0.008,0.131,0.007,0.002,0.004,0.004,0.645,0.815,0.005
0.027,0.297,0.017,0.004,0.014,0.015,0.472,0.752,0.018
0.033,0.043,0.211,0.440,0.026,0.012,0.583,0.598,0.018
0.710,0.096,0.005,0.003,0.787,0.698,0.582,0.568,0.337
0.032,0.277,0.671,0.259,0.023,0.008,0.833,0.945,0.025
0.991,0.015,0.241,0.058,0.997,0.998,0.871,0.938,0.944
0.991,0.015,0.241,0.058,0.997,0.998,0.871,0.938,0.944
0.014,0.413,0.002,0.000,0.007,0.009,0.695,0.714,0.005
0.974,0.018,0.181,0.334,0.992,0.996,0.727,0.831,0.891
0.185,0.039,0.673,0.608,0.123,0.138,0.698,0.652,0.120
0.851,0.019,0.046,0.984,0.967,0.992,0.839,0.767,0.610
0.260,0.038,0.869,0.758,0.225,0.186,0.735,0.781,0.186
0.841,0.006,0.132,0.407,0.930,0.983,0.933,0.947,0.475
0.963,0.004,0.575,0.920,0.992,0.990,0.830,0.879,0.896
0.973,0.005,0.043,0.953,0.997,0.998,0.874,0.899,0.855
0.965,0.012,0.006,0.006,0.989,0.994,0.841,0.736,0.754
0.383,0.014,0.928,0.945,0.454,0.585,0.869,0.882,0.335
0.738,0.012,0.024,0.145,0.916,0.971,0.941,0.899,0.491
0.277,0.040,0.344,0.334,0.280,0.061,0.624,0.697,0.127
0.413,0.536,0.006,0.001,0.363,0.412,0.368,0.236,0.179
0.639,0.121,0.005,0.001,0.626,0.595,0.664,0.478,0.201
0.665,0.003,0.081,0.494,0.802,0.875,0.664,0.500,0.338
0.251,0.031,0.287,0.171,0.275,0.249,0.905,0.836,0.131
0.084,0.022,0.875,0.912,0.090,0.031,0.884,0.921,0.046
0.128,0.015,0.072,0.029,0.136,0.173,0.959,0.905,0.042
0.180,0.030,0.668,0.902,0.198,0.171,0.714,0.698,0.167
0.933,0.054,0.008,0.004,0.964,0.970,0.676,0.462,0.702
0.020,0.879,0.028,0.007,0.012,0.014,0.392,0.942,0.019
0.010,0.095,0.020,0.003,0.006,0.011,0.879,0.910,0.006
0.704,0.305,0.098,0.059,0.725,0.655,0.523,0.422,0.463
0.489,0.089,0.702,0.659,0.502,0.496,0.735,0.726,0.387
0.634,0.026,0.192,0.116,0.719,0.674,0.887,0.848,0.314
0.078,0.024,0.055,0.013,0.072,0.074,0.917,0.841,0.027
0.948,0.036,0.150,0.856,0.986,0.990,0.634,0.725,0.809
0.297,0.039,0.876,0.763,0.302,0.245,0.856,0.889,0.228
0.009,0.104,0.127,0.131,0.005,0.003,0.462,0.461,0.006
0.704,0.013,0.711,0.811,0.810,0.787,0.836,0.853,0.614
0.962,0.007,0.357,0.412,0.990,0.988,0.880,0.919,0.910
0.400,0.167,0.104,0.027,0.405,0.292,0.790,0.574,0.198
0.722,0.187,0.010,0.006,0.743,0.807,0.378,0.296,0.371
0.946,0.004,0.679,0.848,0.986,0.988,0.866,0.899,0.903
0.502,0.002,0.162,0.044,0.684,0.601,0.948,0.863,0.208
0.602,0.166,0.008,0.002,0.642,0.646,0.574,0.551,0.250
0.006,0.940,0.177,0.133,0.002,0.004,0.295,0.856,0.004
0.570,0.047,0.180,0.142,0.571,0.310,0.799,0.896,0.283
0.291,0.050,0.155,0.686,0.356,0.512,0.724,0.644,0.188
0.007,0.058,0.041,0.018,0.004,0.003,0.798,0.914,0.004
0.133,0.047,0.694,0.434,0.109,0.051,0.734,0.682,0.111
0.010,0.678,0.555,0.139,0.005,0.006,0.726,0.967,0.006
0.043,0.081,0.014,0.017,0.032,0.057,0.645,0.710,0.023
0.183,0.046,0.667,0.345,0.173,0.080,0.946,0.973,0.067
0.183,0.046,0.667,0.345,0.173,0.080,0.946,0.973,0.067
0.874,0.041,0.821,0.786,0.933,0.926,0.754,0.844,0.790
0.870,0.015,0.319,0.256,0.944,0.947,0.879,0.901,0.719
0.203,0.606,0.011,0.002,0.124,0.261,0.535,0.399,0.079
0.129,0.143,0.027,0.004,0.106,0.052,0.649,0.673,0.041
0.952,0.123,0.121,0.038,0.964,0.948,0.646,0.757,0.799
0.165,0.022,0.777,0.899,0.171,0.187,0.757,0.895,0.114
0.971,0.052,0.083,0.024,0.990,0.984,0.771,0.852,0.922
0.971,0.052,0.083,0.024,0.990,0.984,0.771,0.852,0.922
0.894,0.016,0.219,0.480,0.966,0.985,0.837,0.782,0.738
0.846,0.061,0.188,0.039,0.894,0.878,0.810,0.848,0.632
0.406,0.095,0.817,0.509,0.370,0.301,0.860,0.856,0.276
0.776,0.013,0.017,0.023,0.891,0.955,0.937,0.880,0.430
0.333,0.015,0.699,0.745,0.408,0.393,0.860,0.852,0.230
0.513,0.007,0.665,0.243,0.536,0.400,0.909,0.870,0.280
0.931,0.008,0.083,0.931,0.987,0.991,0.757,0.738,0.704
0.472,0.101,0.025,0.011,0.462,0.230,0.601,0.593,0.201
0.014,0.018,0.178,0.171,0.009,0.005,0.760,0.759,0.007
0.021,0.062,0.228,0.271,0.013,0.006,0.520,0.479,0.011
0.021,0.062,0.228,0.271,0.013,0.006,0.520,0.479,0.011
0.640,0.015,0.151,0.233,0.758,0.721,0.789,0.712,0.386
0.842,0.012,0.028,0.052,0.928,0.939,0.830,0.719,0.546
0.381,0.089,0.026,0.006,0.390,0.373,0.765,0.669,0.151
0.969,0.006,0.030,0.937,0.997,0.998,0.834,0.851,0.844
0.095,0.010,0.616,0.469,0.086,0.041,0.883,0.917,0.044
0.830,0.010,0.549,0.430,0.913,0.896,0.876,0.861,0.759
0.705,0.006,0.212,0.083,0.820,0.795,0.932,0.896,0.403
0.655,0.332,0.014,0.003,0.625,0.505,0.386,0.251,0.314
0.655,0.332,0.014,0.003,0.625,0.505,0.386,0.251,0.314
0.564,0.014,0.257,0.376,0.629,0.525,0.672,0.718,0.344
0.149,0.070,0.003,0.001,0.116,0.099,0.701,0.648,0.056
0.154,0.070,0.003,0.001,0.122,0.105,0.697,0.641,0.058
0.012,0.289,0.072,0.046,0.008,0.005,0.276,0.428,0.009
0.875,0.004,0.298,0.866,0.960,0.970,0.814,0.810,0.657
0.530,0.083,0.745,0.741,0.540,0.344,0.590,0.602,0.441
0.384,0.062,0.828,0.545,0.389,0.285,0.861,0.846,0.281
0.928,0.011,0.101,0.421,0.982,0.994,0.879,0.870,0.798
0.879,0.566,0.022,0.009,0.931,0.917,0.579,0.824,0.686
0.879,0.566,0.022,0.009,0.931,0.917,0.579,0.824,0.686
0.110,0.256,0.035,0.019,0.089,0.026,0.283,0.203,0.042
0.068,0.078,0.066,0.046,0.051,0.022,0.761,0.869,0.033
0.041,0.139,0.472,0.046,0.032,0.010,0.869,0.923,0.018
0.292,0.062,0.890,0.641,0.273,0.164,0.846,0.874,0.212
0.536,0.114,0.009,0.004,0.555,0.663,0.680,0.491,0.275
0.303,0.314,0.072,0.029,0.272,0.222,0.603,0.479,0.124
0.758,0.002,0.349,0.900,0.912,0.875,0.763,0.859,0.424
0.946,0.006,0.035,0.985,0.994,0.998,0.827,0.846,0.783
0.019,0.015,0.444,0.322,0.012,0.003,0.840,0.938,0.007
0.049,0.694,0.003,0.000,0.029,0.034,0.512,0.490,0.021
0.943,0.001,0.007,0.247,0.994,0.997,0.954,0.936,0.722
0.164,0.122,0.724,0.807,0.105,0.191,0.598,0.556,0.145
0.191,0.052,0.755,0.625,0.104,0.195,0.753,0.837,0.094
0.265,0.040,0.864,0.457,0.244,0.140,0.903,0.927,0.169
0.957,0.004,0.353,0.711,0.991,0.993,0.846,0.900,0.899
0.443,0.121,0.010,0.007,0.452,0.528,0.529,0.368,0.211
0.754,0.006,0.387,0.799,0.885,0.929,0.816,0.856,0.557
0.130,0.058,0.869,0.777,0.126,0.043,0.846,0.888,0.077
0.881,0.047,0.049,0.020,0.907,0.925,0.751,0.661,0.521
0.054,0.010,0.252,0.172,0.035,0.134,0.848,0.743,0.026
0.535,0.066,0.574,0.191,0.526,0.379,0.858,0.835,0.342
0.886,0.003,0.129,0.460,0.974,0.984,0.941,0.933,0.735
0.203,0.029,0.765,0.492,0.224,0.066,0.835,0.861,0.108
0.411,0.209,0.298,0.558,0.406,0.444,0.534,0.663,0.201
0.033,0.469,0.068,0.143,0.021,0.057,0.644,0.809,0.022
0.575,0.047,0.626,0.722,0.675,0.703,0.800,0.857,0.437
0.531,0.038,0.473,0.406,0.575,0.366,0.717,0.710,0.372
0.021,0.991,0.081,0.009,0.010,0.011,0.098,0.752,0.036
0.516,0.035,0.404,0.783,0.614,0.724,0.664,0.679,0.374
0.943,0.018,0.187,0.466,0.984,0.994,0.783,0.880,0.824
0.003,0.090,0.038,0.024,0.002,0.005,0.859,0.925,0.003
0.148,0.018,0.696,0.660,0.130,0.044,0.780,0.880,0.081
0.811,0.009,0.293,0.947,0.950,0.983,0.724,0.830,0.590
0.082,0.036,0.594,0.820,0.076,0.040,0.763,0.816,0.051
0.116,0.526,0.175,0.070,0.093,0.055,0.506,0.905,0.059
0.286,0.022,0.921,0.798,0.310,0.215,0.909,0.914,0.199
0.411,0.057,0.856,0.601,0.416,0.351,0.869,0.849,0.344
0.004,0.199,0.010,0.002,0.002,0.002,0.696,0.894,0.003
0.852,0.616,0.467,0.721,0.900,0.882,0.784,0.941,0.678
0.867,0.021,0.533,0.426,0.924,0.933,0.885,0.916,0.720
0.746,0.059,0.774,0.514,0.812,0.734,0.754,0.795,0.705
0.970,0.004,0.036,0.184,0.995,0.999,0.924,0.909,0.884
0.970,0.004,0.036,0.184,0.995,0.999,0.924,0.909,0.884
0.620,0.112,0.186,0.035,0.668,0.417,0.892,0.926,0.242
0.169,0.014,0.283,0.979,0.213,0.272,0.531,0.410,0.088
0.169,0.014,0.282,0.979,0.213,0.272,0.531,0.410,0.088
0.391,0.039,0.910,0.778,0.403,0.387,0.838,0.844,0.373
0.771,0.178,0.007,0.001,0.809,0.780,0.521,0.363,0.389
0.126,0.058,0.792,0.488,0.122,0.039,0.844,0.843,0.070
0.360,0.029,0.055,0.008,0.332,0.198,0.827,0.506,0.098
0.010,0.114,0.151,0.125,0.006,0.002,0.362,0.321,0.006
0.010,0.114,0.151,0.125,0.006,0.002,0.362,0.321,0.006
0.960,0.008,0.137,0.495,0.991,0.996,0.852,0.864,0.836
0.377,0.087,0.042,0.097,0.465,0.859,0.943,0.982,0.134
0.989,0.008,0.139,0.069,0.997,0.996,0.861,0.896,0.974
0.092,0.016,0.388,0.278,0.076,0.024,0.764,0.879,0.038
0.134,0.416,0.018,0.024,0.131,0.116,0.284,0.313,0.057
0.239,0.097,0.084,0.050,0.244,0.354,0.791,0.634,0.106
0.805,0.008,0.660,0.602,0.892,0.908,0.898,0.894,0.694
0.277,0.012,0.416,0.466,0.294,0.139,0.569,0.645,0.126
0.900,0.010,0.711,0.710,0.954,0.963,0.853,0.877,0.828
0.502,0.085,0.388,0.670,0.567,0.646,0.693,0.691,0.328
0.251,0.054,0.470,0.236,0.245,0.107,0.920,0.963,0.090
0.070,0.101,0.019,0.013,0.054,0.067,0.653,0.599,0.026
0.171,0.216,0.061,0.048,0.152,0.111,0.396,0.382,0.069
0.163,0.024,0.899,0.610,0.159,0.078,0.932,0.913,0.100
0.186,0.527,0.050,0.009,0.160,0.100,0.655,0.478,0.077
0.059,0.076,0.875,0.877,0.050,0.020,0.765,0.860,0.042
0.012,0.029,0.166,0.155,0.007,0.002,0.592,0.719,0.005
0.205,0.018,0.027,0.027,0.241,0.177,0.647,0.459,0.052
0.041,0.650,0.015,0.000,0.020,0.016,0.773,0.689,0.012
0.729,0.004,0.260,0.523,0.801,0.743,0.818,0.897,0.354
0.950,0.005,0.071,0.428,0.991,0.993,0.883,0.883,0.786
0.060,0.017,0.025,0.045,0.052,0.025,0.772,0.822,0.023
0.146,0.099,0.003,0.002,0.129,0.197,0.583,0.485,0.043
0.775,0.107,0.010,0.006,0.811,0.846,0.725,0.564,0.495
0.236,0.066,0.054,0.044,0.196,0.152,0.376,0.370,0.080
0.236,0.066,0.054,0.044,0.196,0.152,0.376,0.370,0.080
0.967,0.009,0.156,0.254,0.993,0.996,0.871,0.906,0.869
0.967,0.009,0.156,0.254,0.993,0.996,0.871,0.906,0.869
0.967,0.009,0.156,0.254,0.993,0.996,0.871,0.906,0.869
0.687,0.140,0.056,0.069,0.750,0.703,0.463,0.577,0.389
0.005,0.101,0.028,0.010,0.003,0.004,0.713,0.858,0.004
0.975,0.001,0.068,0.607,0.996,0.998,0.849,0.707,0.876
0.959,0.003,0.020,0.096,0.991,0.995,0.834,0.780,0.774
0.054,0.180,0.271,0.091,0.037,0.019,0.696,0.764,0.029
0.044,0.010,0.538,0.058,0.038,0.025,0.969,0.974,0.013
0.751,0.054,0.543,0.803,0.821,0.886,0.695,0.795,0.532
0.260,0.127,0.683,0.647,0.238,0.131,0.726,0.787,0.164
0.310,0.087,0.422,0.897,0.362,0.403,0.663,0.652,0.200
0.343,0.027,0.430,0.404,0.359,0.241,0.890,0.925,0.159
0.871,0.102,0.016,0.012,0.904,0.912,0.480,0.471,0.496
0.672,0.034,0.292,0.224,0.740,0.737,0.691,0.707,0.488
0.003,0.825,0.087,0.034,0.001,0.003,0.385,0.863,0.003
0.809,0.017,0.438,0.457,0.901,0.891,0.885,0.904,0.605
0.400,0.216,0.343,0.657,0.402,0.467,0.540,0.619,0.236
0.964,0.007,0.056,0.980,0.996,0.998,0.747,0.763,0.841
0.351,0.040,0.860,0.700,0.369,0.398,0.892,0.876,0.269
0.460,0.052,0.745,0.298,0.455,0.377,0.879,0.794,0.338
0.020,0.414,0.083,0.026,0.015,0.018,0.898,0.988,0.014
0.891,0.066,0.106,0.019,0.911,0.856,0.754,0.888,0.671
0.164,0.068,0.010,0.000,0.137,0.094,0.885,0.694,0.033
0.030,0.023,0.392,0.463,0.026,0.012,0.745,0.952,0.019
0.619,0.143,0.752,0.632,0.608,0.726,0.712,0.601,0.545
0.619,0.016,0.118,0.054,0.682,0.762,0.912,0.864,0.295
0.748,0.036,0.573,0.415,0.800,0.847,0.823,0.893,0.535
0.482,0.008,0.444,0.747,0.651,0.770,0.898,0.860,0.314
0.247,0.013,0.900,0.980,0.336,0.382,0.869,0.890,0.191
0.565,0.269,0.052,0.007,0.522,0.602,0.646,0.583,0.312
0.128,0.006,0.934,0.900,0.122,0.075,0.929,0.971,0.072
0.349,0.090,0.020,0.003,0.335,0.157,0.805,0.851,0.081
0.471,0.016,0.896,0.893,0.512,0.515,0.798,0.877,0.380
0.959,0.005,0.604,0.911,0.991,0.989,0.835,0.888,0.896
0.009,0.857,0.301,0.290,0.003,0.009,0.575,0.944,0.006
0.207,0.033,0.877,0.607,0.178,0.141,0.908,0.949,0.120
0.375,0.053,0.270,0.319,0.457,0.248,0.680,0.824,0.242
0.027,0.980,0.173,0.106,0.017,0.012,0.518,0.979,0.035
0.022,0.033,0.130,0.032,0.016,0.005,0.859,0.914,0.007
0.036,0.094,0.636,0.509,0.024,0.010,0.690,0.816,0.025
0.095,0.016,0.105,0.075,0.099,0.102,0.885,0.799,0.038
0.315,0.046,0.380,0.111,0.306,0.187,0.889,0.849,0.121
0.837,0.012,0.568,0.958,0.934,0.956,0.731,0.745,0.622
0.305,0.075,0.894,0.805,0.286,0.303,0.765,0.768,0.293
0.006,0.042,0.031,0.040,0.003,0.003,0.562,0.757,0.004
0.875,0.018,0.361,0.794,0.960,0.979,0.831,0.911,0.727
